"Identifier","SourceString","Comment","DE","FR","NL","ES","PL","IT","RU"
"323","Luxembourg","0:table:countries;field=name","Luxemburg","Luxembourg","Luxemburg","Luxembourg","","Luxembourg","Люксембург"
"324","Lithuania","0:table:countries;field=name","Litauen","Lithuania","Litouwen","Lithuania","","Lithuania","Литва"
"325","Lesotho","0:table:countries;field=name","Lesotho","Lesotho","Lesotho","Lesotho","","Lesotho","Лесото"
"326","Liberia","0:table:countries;field=name","Liberia","Liberia","Liberië","Liberia","","Liberia","Либерия"
"327","Sri Lanka","0:table:countries;field=name","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","","Sri Lanka","Шри-Ланка"
"328","Liechtenstein","0:table:countries;field=name","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","","Liechtenstein","Лихтенштейн"
"329","Saint Lucia","0:table:countries;field=name","St. Lucia","Saint Lucia","Saint Lucia","Saint Lucia","","Saint Lucia","Сент-Люсия"
"330","Lebanon","0:table:countries;field=name","Libanon","Lebanon","Libanon","Lebanon","","Lebanon","Ливан"
"331","Lao People's Democratic Republic","0:table:countries;field=name","Laos","Lao People's Democratic Republic","Laos","Lao People's Democratic Republic","","Lao People's Democratic Republic","Лаос"
"332","Kazakhstan","0:table:countries;field=name","Kasachstan","Kazakhstan","Kazachstan","Kazakhstan","","Kazakhstan","Казахстан"
"333","Cayman Islands","0:table:countries;field=name","Kaimaninseln","Cayman Islands","Kaaiman eilanden","Cayman Islands","","Cayman Islands","Каймановы острова"
"334","Kuwait","0:table:countries;field=name","Kuwait","Kuwait","Koeweit","Kuwait","","Kuwait","Кувейт"
"335","Korea, Republic Of","0:table:countries;field=name","Republik Korea","Korea, Republic Of","Zuid-Korea","Korea, Republic Of","","Korea, Republic Of","Южная Корея"
"336","Korea, Democratic People's Republic Of","0:table:countries;field=name","Demokratische Volksrepublik Korea","Korea, Democratic People's Republic Of","Noord-Korea","Korea, Democratic People's Republic Of","","Korea, Democratic People's Republic Of","Северная Корея"
"337","Saint Kitts And Nevis","0:table:countries;field=name","St. Kitts und Nevis","Saint-Kitts-Et-Nevis","Saint Kitts en Nevis","Saint Kitts And Nevis","","Saint Kitts And Nevis","Сент-Китс и Невис"
"338","Comoros","0:table:countries;field=name","Komoren","Comores","Comoren","Comoros","","Comoros","Коморы"
"339","Kiribati","0:table:countries;field=name","Kiribati","Kiribati","Kiribati","Kiribati","","Kiribati","Кирибати"
"340","Cambodia","0:table:countries;field=name","Kambodscha","Cambodge","Cambodja","Cambodia","","Cambodia","Камбоджа"
"341","Kyrgyzstan","0:table:countries;field=name","Kirgistan","Kirghizstan","Kirgizië","Kyrgyzstan","","Kyrgyzstan","Киргизия"
"342","Kenya","0:table:countries;field=name","Kenia","Kenya","Kenia","Kenya","","Kenya","Кения"
"343","Japan","0:table:countries;field=name","Japan","Japon","Japan","Japan","","Japan","Япония"
"344","Jordan","0:table:countries;field=name","Jordanien","Jordanie","Jordanië","Jordan","","Jordan","Иордания"
"345","Jamaica","0:table:countries;field=name","Jamaika","Jamaïque","Jamaica","Jamaica","","Jamaica","Ямайка"
"346","Italy","0:table:countries;field=name","Italien","Italie","Italië","Italy","","Italy","Италия"
"347","Iceland","0:table:countries;field=name","Island","Islande","Ijsland","Iceland","","Iceland","Исландия"
"348","Iran (Islamic Republic Of)","0:table:countries;field=name","Iran","Iran (République islamique d ')","Iran","Iran (Islamic Republic Of)","","Iran (Islamic Republic Of)","Иран"
"349","Iraq","0:table:countries;field=name","Irak","Irak","Irak","Iraq","","Iraq","Ирак"
"350","British Indian Ocean Territory","0:table:countries;field=name","Britisches Territorium im Indischen Ozean","Territoire britannique de l'océan Indien","Brits Indische Oceaan territorium","British Indian Ocean Territory","","British Indian Ocean Territory","Британская территория в Индийском океане"
"351","India","0:table:countries;field=name","Indien","Inde","India","India","","India","Индия"
"352","Israel","0:table:countries;field=name","Israel","Israël","Israël","Israel","","Israel","Израиль"
"353","Ireland","0:table:countries;field=name","Irland","Irlande","Ierland","Ireland","","Ireland","Ирландия"
"354","Indonesia","0:table:countries;field=name","Indonesien","Indonésie","Indonesië","Indonesia","","Indonesia","Индонезия"
"355","Hungary","0:table:countries;field=name","Ungarn","Hongrie","Hongarije","Hungary","","Hungary","Венгрия"
"356","Haiti","0:table:countries;field=name","Haiti","Haïti","Haïti","Haiti","","Haiti","Гаити"
"357","Croatia","0:table:countries;field=name","Kroatien","Croatie","Kroatië","Croatia","","Croatia","Хорватия"
"358","Honduras","0:table:countries;field=name","Honduras","Honduras","Honduras","Honduras","","Honduras","Гондурас"
"359","Heard And Mc Donald Islands","0:table:countries;field=name","Heard und McDonaldinseln","Heard et Mc Donald Îles","Heardeiland en McDonaldeilanden","Heard And Mc Donald Islands","","Heard And Mc Donald Islands","Херд и Макдоналд"
"360","Hong Kong","0:table:countries;field=name","Honkong","Hong Kong","Hong Kong","Hong Kong","","Hong Kong","Гонконг"
"361","Guyana","0:table:countries;field=name","Guyana","Guyane","Guyana","Guyana","","Guyana","Гайана"
"362","Guinea-Bissau","0:table:countries;field=name","Guinea-Bissau","Guinée-Bissau","Guinee-Bissau","Guinea-Bissau","","Guinea-Bissau","Гвинея-Бисау"
"363","Guam","0:table:countries;field=name","Guam","Guam","Guam","Guam","","Guam","Гуам"
"364","Guatemala","0:table:countries;field=name","Guatemala","Guatemala","Guatemala","Guatemala","","Guatemala","Гватемала"
"365","South Georgia And The South Sandwich Islands","0:table:countries;field=name","Südgeorgien und die Südlichen Sandwichinseln","Géorgie du Sud et les îles Sandwich du Sud","Zuid-Georgia en de Zuidelijke Sandwicheilanden","South Georgia And The South Sandwich Islands","","South Georgia And The South Sandwich Islands","Южная Георгия и Южные Сандвичевы острова"
"366","Greece","0:table:countries;field=name","Griechenland","Grèce","Griekenland","Greece","","Greece","Греция"
"367","Guadeloupe","0:table:countries;field=name","Guadelope","Guadeloupe","Guadeloupe","Guadeloupe","","Guadeloupe","Гваделупа"
"368","Guinea","0:table:countries;field=name","Guinea","Guinée","Guinea","Guinea","","Guinea","Гвинея"
"369","Gambia","0:table:countries;field=name","Gambia","Gambie","Gambia","Gambia","","Gambia","Гамбия"
"370","Greenland","0:table:countries;field=name","Grönland","Groenland","Groenland","Greenland","","Greenland","Гренландия"
"371","Gibraltar","0:table:countries;field=name","Gibraltar","Gibraltar","Gibraltar","Gibraltar","","Gibraltar","Гибралтар"
"372","Ghana","0:table:countries;field=name","Ghana","Ghana","Ghana","Ghana","","Ghana","Гана"
"373","French Guiana","0:table:countries;field=name","Guayana","Guyane française","Frans-Guyana","French Guiana","","French Guiana","Французская Гвиана"
"374","Georgia","0:table:countries;field=name","Georgien","Géorgie","Georgië","Georgia","","Georgia","Грузия"
"375","Grenada","0:table:countries;field=name","Granada","Grenade","Grenada","Grenada","","Grenada","Гренада"
"376","United Kingdom","0:table:countries;field=name","Großbritannien","Royaume-Uni","Verenigd Koninkrijk","United Kingdom","","United Kingdom","Великобритания"
"377","Gabon","0:table:countries;field=name","Gabun","Gabon","Gabon","Gabon","","Gabon","Габон"
"378","France","0:table:countries;field=name","Frankreich","France","Frankrijk","France","","France","Франция"
"379","Faroe Islands","0:table:countries;field=name","Färöer (zu Dänemark)","Îles Féroé","Faeröer","Faroe Islands","","Faroe Islands","Фареры"
"380","Micronesia, Federated States Of","0:table:countries;field=name","Mikronesien","Micronésie, États fédérés de","Micronesia","Micronesia, Federated States Of","","Micronesia, Federated States Of","Микронезия"
"381","Falkland Islands (Malvinas)","0:table:countries;field=name","Falklandinseln","Îles Falkland (Malvinas)","Falklandeilanden","Falkland Islands (Malvinas)","","Falkland Islands (Malvinas)","Фолклендские острова"
"382","Fiji","0:table:countries;field=name","Fidschi","Fidji","Fiji","Fiji","","Fiji","Фиджи"
"383","Finland","0:table:countries;field=name","Finnland","Finlande","Finland","Finland","","Finland","Финляндия"
"384","Ethiopia","0:table:countries;field=name","Äthiopien","Ethiopie","Ethiopië","Ethiopia","","Ethiopia","Эфиопия"
"385","Spain","0:table:countries;field=name","Spanien","Espagne","Spanje","Spain","","Spain","Испания"
"386","Eritrea","0:table:countries;field=name","Eritrea","Erythrée","Eritrea","Eritrea","","Eritrea","Эритрея"
"387","Western Sahara","0:table:countries;field=name","Westsahara","Western Sahara","Westelijke Sahara","Western Sahara","","Western Sahara","Западная Сахара"
"388","Egypt","0:table:countries;field=name","Ägypten","Egypt","Egypte","Egypt","","Egypt","Египет"
"389","Estonia","0:table:countries;field=name","Estland","Estonia","Estland","Estonia","","Estonia","Эстония"
"390","Ecuador","0:table:countries;field=name","Equador","Ecuador","Ecuador","Ecuador","","Ecuador","Эквадор"
"391","Algeria","0:table:countries;field=name","Algerien","Algeria","Algerije","Algeria","","Algeria","Алжир"
"392","Dominican Republic","0:table:countries;field=name","Dominikanische Republik","Dominican Republic","Dominicaanse Republiek","Dominican Republic","","Dominican Republic","Доминиканская Республика"
"393","Denmark","0:table:countries;field=name","Dänemark","Denmark","Denemarken","Denmark","","Denmark","Дания"
"394","Djibouti","0:table:countries;field=name","Dschibuti","Djibouti","Djibouti","Djibouti","","Djibouti","Джибути"
"395","Germany","0:table:countries;field=name","Deutschland","Germany","Duitsland","Germany","","Germany","Германия"
"396","Czech Republic","0:table:countries;field=name","Tschechische Republik","Czech Republic","Tsjechische Republiek","Czech Republic","","Czech Republic","Чехия"
"397","Cyprus","0:table:countries;field=name","Zypern","Cyprus","Cyprus","Cyprus","","Cyprus","Кипр"
"398","Christmas Island","0:table:countries;field=name","Weihnachtsinseln","Christmas Island","Kersteiland","Christmas Island","","Christmas Island","Остров Рождества"
"399","Cape Verde","0:table:countries;field=name","Kapverden","Cape Verde","Kaapverdië","Cape Verde","","Cape Verde","Кабо-Верде"
"400","Cuba","0:table:countries;field=name","Kuba","Cuba","Cuba","Cuba","","Cuba","Куба"
"402","Costa Rica","0:table:countries;field=name","Costa Rica","Costa Rica","Costa Rica","Costa Rica","","Costa Rica","Коста-Рика"
"403","Colombia","0:table:countries;field=name","Kolumbien","Colombia","Colombia","Colombia","","Colombia","Колумбия"
"404","China","0:table:countries;field=name","Volksrepublik China","China","China","China","","China","Китай"
"405","Cameroon","0:table:countries;field=name","Kamerun","Cameroon","Kameroen","Cameroon","","Cameroon","Камерун"
"406","Chile","0:table:countries;field=name","Chile","Chile","Chili","Chile","","Chile","Чили"
"407","Cook Islands","0:table:countries;field=name","Cookinseln","Cook Islands","Cookeilanden","Cook Islands","","Cook Islands","Острова Кука"
"408","Cote d'Ivoire","0:table:countries;field=name","Elfenbeinküste","Cote d'Ivoire","Ivoorkust","Cote d'Ivoire","","Cote d'Ivoire","Кот-д’Ивуар"
"409","Switzerland","0:table:countries;field=name","Schweiz","Switzerland","Zwitserland","Switzerland","","Switzerland","Швейцария"
"410","Congo","0:table:countries;field=name","Kongo","Congo","Congo","Congo","","Congo","Конго"
"411","Central African Republic","0:table:countries;field=name","Zentralafrikanische Republik","Central African Republic","Centraal-Afrikaanse Republiek","Central African Republic","","Central African Republic","Центрально-Африканская Республика"
"412","Cocos (Keeling) Islands","0:table:countries;field=name","Kokosinseln","Cocos (Keeling) Islands","Cocoseilanden","Cocos (Keeling) Islands","","Cocos (Keeling) Islands","Кокосовые острова"
"413","Canada","0:table:countries;field=name","Kanada","Canada","Canada","Canada","","Canada","Канада"
"414","Belize","0:table:countries;field=name","Belize","Belize","Belize","Belize","","Belize","Белиз"
"415","Belarus","0:table:countries;field=name","Belarus (Weißrußland)","Belarus","Wit-Rusland","Belarus","","Belarus","Белоруссия"
"416","Botswana","0:table:countries;field=name","Botsuana","Botswana","Botswana","Botswana","","Botswana","Ботсвана"
"417","Bouvet Island","0:table:countries;field=name","Bouvetinsel","Bouvet Island","Bouvet","Bouvet Island","","Bouvet Island","Буве"
"418","Bhutan","0:table:countries;field=name","Bhutan","Bhutan","Bhutan","Bhutan","","Bhutan","Бутан"
"419","Bahamas","0:table:countries;field=name","Bahamas","Bahamas","Bahama's","Bahamas","","Bahamas","Багамы"
"420","Brazil","0:table:countries;field=name","Brasilien","Brazil","Brazilië","Brazil","","Brazil","Бразилия"
"421","Bolivia","0:table:countries;field=name","Bolivien","Bolivia","Bolivia","Bolivia","","Bolivia","Боливия"
"422","Brunei Darussalam","0:table:countries;field=name","Brunei","Brunei Darussalam","Brunei","Brunei Darussalam","","Brunei Darussalam","Бруней"
"423","Bermuda","0:table:countries;field=name","Bermuda","Bermuda","Bermuda","Bermuda","","Bermuda","Бермуды"
"424","Benin","0:table:countries;field=name","Benin","Benin","Menin","Benin","","Benin","Бенин"
"425","Burundi","0:table:countries;field=name","Burundi","Burundi","Burundi","Burundi","","Burundi","Бурунди"
"426","Bahrain","0:table:countries;field=name","Bahrain","Bahrain","Bahrein","Bahrain","","Bahrain","Бахрейн"
"427","Bulgaria","0:table:countries;field=name","Bulgarien","Bulgaria","Bulgarije","Bulgaria","","Bulgaria","Болгария"
"428","Burkina Faso","0:table:countries;field=name","Burkina Faso","Burkina Faso","Burkina Faso","Burkina Faso","","Burkina Faso","Буркина Фасо"
"429","Belgium","0:table:countries;field=name","Belgien","Belgium","België","Belgium","","Belgium","Бельгия"
"430","Bangladesh","0:table:countries;field=name","Bangladesch","Bangladesh","Bangladesh","Bangladesh","","Bangladesh","Бангладеш"
"431","Barbados","0:table:countries;field=name","Barbados","Barbados","Barbados","Barbados","","Barbados","Барбадос"
"432","Bosnia And Herzegowina","0:table:countries;field=name","Bosnien-Herzegowina","Bosnia And Herzegowina","Bosnië en Herzegovina","Bosnia And Herzegowina","","Bosnia And Herzegowina","Босния и Герцеговина"
"433","Azerbaijan","0:table:countries;field=name","Aserbaidschan","Azerbaijan","Azerbeidzjan","Azerbaijan","","Azerbaijan","Азербайджан"
"434","Aruba","0:table:countries;field=name","Aruba","Aruba","Aruba","Aruba","","Aruba","Аруба"
"435","Australia","0:table:countries;field=name","Australien","Australia","Australië","Australia","","Australia","Австралия"
"436","Austria","0:table:countries;field=name","Österreich","Austria","Oostenrijk","Austria","","Austria","Австрия"
"437","American Samoa","0:table:countries;field=name","Amerikanisch-Samoa","Samoa américaines","Amerikaans-Samoa","American Samoa","","American Samoa","Американское Самоа"
"438","Argentina","0:table:countries;field=name","Argentinien","Argentine","Argentinië","Argentina","","Argentina","Аргентина"
"439","Angola","0:table:countries;field=name","Angola","Angola","Angola","Angola","","Angola","Ангола"
"440","Netherlands Antilles","0:table:countries;field=name","Niederländische Antillen","Antilles Néerlandaises","Nederlandse Antillen","Netherlands Antilles","","Netherlands Antilles","Нидерландские Антильские острова"
"441","Armenia","0:table:countries;field=name","Armenien","Arménie","Armenië","Armenia","","Armenia","Армения"
"442","Albania","0:table:countries;field=name","Albanien","Albanie","Albanië","Albania","","Albania","Албания"
"443","Anguilla","0:table:countries;field=name","Anguilla","Anguilla","Anguilla","Anguilla","","Anguilla","Ангилья"
"444","Antigua And Barbuda","0:table:countries;field=name","Antigua und Barbuda","Antigua-Et-Barbuda","Antigua en Barbuda","Antigua And Barbuda","","Antigua And Barbuda","Антигуа и Барбуда"
"445","Afghanistan","0:table:countries;field=name","Afghanistan","Afghanistan","Afghanistan","Afghanistan","","Afghanistan","Афганистан"
"446","United Arab Emirates","0:table:countries;field=name","Vereinigte Arabische Emirate","Emirats Arabes Unis","Verenigde Arabische Emiraten","United Arab Emirates","","United Arab Emirates","ОАЭ"
"447","Andorra","0:table:countries;field=name","Andorra","Andorre","Andorra","Andorra","","Andorra","Андорра"
"448","Switching to db-root failed.","62:./templates2/ocstyle/error.tpl","Die Anmeldung an der Datenbank als root ist fehlgeschlagen.","Passage à db-root échoué.","De aanmelding aan de database als root is mislukt.","Switching to db-root failed.","","Switching to db-root failed.",""
"449","(before an export)","46:./templates2/ocstyle/translate.tpl","(vor einem Export)","(Avant l'exportation)","(voor een export)","(before an export)","","(before an export)",""
"452","News entry has been saved","","Newseintrag gespeichert","La nouvelle a été enregistrée","Nieuwsbericht opgeslagen","News entry has been saved","","News entry has been saved",""
"454","Submit a news entry","","Neuen Newseintrag erstellen","Soumettre une nouvelle","Een nieuwsbericht opstellen","Submit a news entry","","Submit a news entry","Опубликовать новость"
"455","Submit","70:./templates2/ocstyle/activation.tpl","Absenden","Soumettre","Verzenden","Submit","","Submit","Сохранить"
"456","The code did not match.","","Die Eingabe war nicht korrekt.","Le code ne correspond pas.","De code komt niet overeen.","El código no coincide","","The code did not match.",""
"457","And now fill in the spam protection code:","","... und jetzt bitte noch den Schutz gegen Spammer umgehen:","Et maintenant remplir le code de protection anti-spam :","... en nu de code invullen om te beschermen tegen spammers:","And now fill in the spam protection code:","","And now fill in the spam protection code:","Антиспамерский код:"
"458","What does this picture show?","","Was zeigt das Bild?","What does this picture show?","Wat laat het plaatje zien?","What does this picture show?","","What does this picture show?","Что изображено на рисунке?"
"459","E-mail address is not valid.","39:./templates2/ocstyle/activation.tpl","E-Mail-Adresse ungültig.","L'adresse e-mail n'est pas valide.","E-mailadres niet geldig.","E-mail address is not valid.","","E-mail address is not valid.",""
"460","Your e-mail address for queries:","","Deine E-Mail-Adresse für Rückfragen:","Votre e-mail pour les requêtes :","Jouw e-mailadres voor eventuele vragen:","Your e-mail address for queries:","","Your e-mail address for queries:","Электронный адрес:"
"462","The news entry was entered with HTML tags ","","Die Nachricht wurde als HTML-Code eingegeben ","L’entrée de nouvelles a été saisie avec les balises HTML ","Het nieuwsbericht is in HTML-code geschreven ","The news entry was entered with HTML tags ","","The news entry was entered with HTML tags ","В тексте присутствует HTML-разметка."
"463","News entry:","","Nachricht:","Nouvelle :","Nieuwsbericht:","News entry:","","News entry:","Текст:"
"464","Topic:","","Thema:","Sujet:","Thema","Tema:","","Topic:","Тема:"
"467","Hint","32:./templates2/ocstyle/activation.tpl","Hinweis","Indices","Hint","Hint","","Hint",""
"468","Activate account","12:./templates2/ocstyle/activation.tpl","Account aktivieren","Activer le compte","Account activeren","Activate account","","Activate account","Активация"
"469","Best regards,<br/>your Opencaching team","11:./templates2/ocstyle/sys_outofservice.tpl","Vielen Dank,<br/>das Opencaching-Team","Cordialement,<br/>votre équipe Opencaching","Hartelijk bedankt,<br/>het Opencaching-team","Best regards,<br/>your Opencaching team","","Best regards,<br/>your Opencaching team",""
"474","If this problem persists over a longer time, please contact us via <a href=""mailto:%1"">%1</a>.","35:./templates2/ocstyle/login.tpl","Sollte das Problem längere Zeit bestehen, wende dich bitte an <a href=""mailto:%1"">%1</a>.","Si ce problème persiste sur une longue période, merci de nous contacter à l'adresse <a href=""mailto:%1"">%1</a>.","Mocht het probleem langer aanhouden, neem dan contact met ons op via <a href=""mailto:%1"">%1</a>.","If this problem persists over a longer time, please contact us via <a href=""mailto:%1"">%1</a>.","","If this problem persists over a longer time, please contact us via <a href=""mailto:%1"">%1</a>.",""
"475","%1 is currently out of service","7:./templates2/ocstyle/sys_outofservice.tpl","%1 ist momentan außer Betrieb","%1 est actuellement hors service","%1 is momenteel buiten bedrijf","%1 is currently out of service","","%1 is currently out of service",""
"477","Total runtime:","345:./templates2/ocstyle/sys_sqldebugger.tpl","Gesamt:","Total runtime:","Totale runtime:","Total runtime:","","Total runtime:",""
"478","Business layer runtime:","341:./templates2/ocstyle/sys_sqldebugger.tpl","Businesslayer:","Business layer runtime:","Business layer runtime:","Business layer runtime:","","Business layer runtime:",""
"479","Framework runtime:","337:./templates2/ocstyle/sys_sqldebugger.tpl","Framework:","Framework runtime:","Framework runtime:","Framework runtime:","","Framework runtime:",""
"480","User runtime:","333:./templates2/ocstyle/sys_sqldebugger.tpl","Benutzer:","User runtime:","Gebruiker runtime:","User runtime:","","User runtime:","Пользователь:"
"481","SQL Debugger","11:./templates2/ocstyle/sys_sqldebugger.tpl","SQL-Debugger","SQL Debugger","SQL Debugger","SQL Debugger","","SQL Debugger",""
"482","%1 commands","334:./templates2/ocstyle/sys_sqldebugger.tpl","%1 Befehle","%1 des commandes","%1 commando's","%1 commands","","%1 commands",""
"483","Overview","0:table:sys_menu;field=menustring","Übersicht","Vue d'ensemble","Overzicht","Overview","","Overview",""
"484","Profile","0:table:sys_menu;field=menustring","Profildaten","Profil","Profiel","Profile","","Profile","Профиль"
"485","Stored queries","10:./templates2/ocstyle/query.tpl","Gespeicherte Suchen","Les requêtes stockées","Opgeslagen zoekopdrachten","Stored queries","","Stored queries",""
"486","Watched caches","0:table:sys_menu;field=menustring","Beobachtete Caches","Caches regardées","Gevolgde caches","Watched caches","","Watched caches",""
"487","Ignored caches","0:table:sys_menu;field=menustring","Ignorierte Caches","Caches ignorées","Genegeerd caches","Ignored caches","","Ignored caches","Чёрные метки"
"488","Settings","2268:./templates2/ocstyle/map2.tpl","Einstellungen","Paramètres","Instellingen","Settings","","Settings","Настройки"
"490","The notification radius must not be greater than 150 km. To deactivate notifications, set the radius to 0.","115:./templates2/ocstyle/myprofile.tpl","Der Radius darf maximal 150 km betragen. Zum Deaktivieren der Benachrichtigung setze den Umkreis auf den Wert 0.","Le rayon de notification ne doit pas être plus que 150 km. Pour désactiver des notifications, définir le rayon à 0.","De radius mag maximaal 150 km zijn. Om de notificaties uit te zetten, zet de radius op 0.","The notification radius must not be greater than 150 km. To deactivate notifications, set the radius to 0.","","The notification radius must not be greater than 150 km. To deactivate notifications, set the radius to 0.","Радиус не может превышать 150 км. Чтобы отменить уведомления, задайте 0."
"491","Change password","9:./templates2/ocstyle/newpw.tpl","Passwort ändern","Changer le mot de passe","Wachtwoord veranderen","Change password","","Change password","Сменить пароль"
"493","E-mail address","11:./templates2/mail/register.tpl","E-Mail-Adresse","Adresse e-mail","E-mailadres","E-mail address","","E-mail address","Сменить адрес"
"496","Archived","180:./templates2/ocstyle/adminreports.tpl","archiviert","archivé","Gearchiveerd","Archived","","Archived",""
"497","Not found","19:./templates2/ocstyle/res_logentry.tpl","nicht gefunden","pas trouvé","Niet gevonden","Not found","","Not found","Не найден"
"498","Attended","20:./templates2/ocstyle/event_attendance.tpl","teilgenommen","participation","Deelgenomen","Attended","","Attended",""
"499","Will attend","14:./templates2/ocstyle/event_attendance.tpl","möchte teilnehmen","sera présent","Wil deelnemen","Will attend","","Will attend",""
"500","Hello %1","62:./templates2/ocstyle/myhome.tpl","Herzlich willkommen %1","Bonjour %1","Hallo %1","Hello %1","","Hello %1",""
"501","Logs","82:./templates2/ocstyle/restorecaches.tpl","Logs","Logs","Logs","Logs","","Logs",""
"502","Finds: %1","70:./templates2/ocstyle/myhome.tpl","Funde: %1","Trouve&nbsp;: %1","Gevonden: %1","Finds: %1","","Finds: %1","Найдено тайников: %1"
"503","Your latest log entries","76:./templates2/ocstyle/myhome.tpl","Deine letzten Logeinträge","Your latest log entries","Je laatste logs","Your latest log entries","","Your latest log entries","Ваши последние отчёты"
"504","No entries found","93:./templates2/ocstyle/myhome.tpl","Keine Einträge gefunden","No entries found","Geen logs gevonden","No entries found","","No entries found","Нет отчётов"
"505","Geocaches hidden: %1","133:./templates2/ocstyle/myhome.tpl","Versteckte Caches: %1","Geocaches hidden: %1","Geplaatste caches: %1","Geocaches hidden: %1","","Geocaches hidden: %1","Спрятано тайников: %1"
"506","Your geocaches hidden","150:./templates2/ocstyle/myhome.tpl","Deine versteckten Caches","Your geocaches hidden","Jouw geplaatste caches","Your geocaches hidden","","Your geocaches hidden",""
"507","No geocaches hidden ","141:./templates2/ocstyle/myhome.tpl","Du hast noch keine Geocaches versteckt ","No geocaches hidden ","Geen geplaatste caches ","No geocaches hidden ","","No geocaches hidden ","Нет спрятанных тайников"
"508","Your pending geocaches:","179:./templates2/ocstyle/myhome.tpl","Deine noch nicht veröffentlichten Caches:","Your pending geocaches:","Jouw nog niet gepubliceerde caches:","Your pending geocaches:","","Your pending geocaches:",""
"512","Unknown Geocache","10:./templates2/ocstyle/res_cacheicon.tpl","Unbekannter Geocache","Unknown Geocache","Onbekende cache","Unknown Geocache","","Unknown Geocache",""
"513","Traditional Geocache","12:./templates2/ocstyle/res_cacheicon.tpl","Normaler Geocache","Traditional Geocache","Traditionele cache","Traditional Geocache","","Traditional Geocache",""
"514","Multicache","14:./templates2/ocstyle/res_cacheicon.tpl","Multicache","Multicache","Multi cache","Multicache","","Multicache",""
"515","Virtual Geocache","16:./templates2/ocstyle/res_cacheicon.tpl","Virtueller Geocache","Virtual Geocache","Virtuele cache","Virtual Geocache","","Virtual Geocache",""
"516","Webcam Geocache","18:./templates2/ocstyle/res_cacheicon.tpl","Webcam-Geocache","Webcam Geocache","Webcam cache","Webcam Geocache","","Webcam Geocache",""
"517","Event Geocache","34:./templates2/ocstyle/newcaches.tpl","Event-Geocache","Event Geocache","Evenement","Event Geocache","","Event Geocache",""
"518","Quiz Cache","22:./templates2/ocstyle/res_cacheicon.tpl","Rätselcache","Quiz Cache","Puzzel cache","Quiz Cache","","Quiz Cache",""
"519","Math/Physics Geocache","24:./templates2/ocstyle/res_cacheicon.tpl","Mathe/Physik-Geocache","Math/Physics Geocache","Wiskunde/natuurkunde cache","Math/Physics Geocache","","Math/Physics Geocache",""
"520","Moving Geocache","26:./templates2/ocstyle/res_cacheicon.tpl","Beweglicher Geocache","Moving Geocache","Bewegende cache","Moving Geocache","","Moving Geocache",""
"521","Drive-In Geocache","28:./templates2/ocstyle/res_cacheicon.tpl","Drive-In-Geocache","Drive-In Geocache","Drive-In cache","Drive-In Geocache","","Drive-In Geocache",""
"524","other size","403:./templates2/ocstyle/search.tpl","andere Größe","other size","andere grootte","other size","","other size",""
"525","micro","397:./templates2/ocstyle/search.tpl","mikro","micro","micro","micro","","micro",""
"526","small","398:./templates2/ocstyle/search.tpl","klein","small","klein","small","","small",""
"527","normal","399:./templates2/ocstyle/search.tpl","normal","normal","normaal","normal","","normal",""
"528","large","400:./templates2/ocstyle/search.tpl","groß","large","groot","large","","large",""
"529","very large","401:./templates2/ocstyle/search.tpl","extrem groß","very large","extra groot","very large","","very large",""
"530","no container","403:./templates2/ocstyle/search.tpl","kein Behälter","no container","geen behuizing","no container","","no container",""
"531","Available","176:./templates2/ocstyle/adminreports.tpl","kann gesucht werden","Available","Beschikbaar","Available","","Available",""
"532","Temporarily not available","178:./templates2/ocstyle/adminreports.tpl","momentan nicht verfügbar","Temporarily not available","Tijdelijk niet beschikbaar","Temporarily not available","","Temporarily not available",""
"533","Hidden by approvers to check","14:./templates2/ocstyle/res_cachestatus.tpl","von den Approvern entfernt, um geprüft zu werden","Hidden by approvers to check","Verborgen door approvers, om gecontroleerd te worden","Hidden by approvers to check","","Hidden by approvers to check",""
"534","Not yet published","16:./templates2/ocstyle/res_cachestatus.tpl","noch nicht veröffentlicht","Not yet published","Nog niet beschikbaar","Not yet published","","Not yet published",""
"535","Unknown cache type","0:table:cache_type;field=name","unbekannter Cachetyp","Unknown cache type","Onbekend cache soort","Unknown cache type","","Unknown cache type",""
"536","Traditional Cache","0:table:cache_type;field=name","normaler Cache","Traditional Cache","Traditionele cache","Traditional Cache","","Traditional Cache",""
"537","Virtual Cache","0:table:cache_type;field=name","virtueller Cache","Virtual Cache","Virtuele cache","Virtual Cache","","Virtual Cache",""
"538","Webcam Cache","0:table:cache_type;field=name","Webcam-Cache","Webcam Cache","Webcam cache","Webcam Cache","","Webcam Cache",""
"539","Event Cache","0:table:cache_type;field=name","Event-Cache","Event Cache","Evenement","Event Cache","","Event Cache",""
"540","Math/Physics Cache","0:table:cache_type;field=name","Mathe-/Physikcache","Math/Physics Cache","Wiskunde/natuurkunde cache","Math/Physics Cache","","Math/Physics Cache",""
"541","Moving Cache","0:table:cache_type;field=name","beweglicher Cache","Moving Cache","Bewegende cache","Moving Cache","","Moving Cache",""
"542","Drive-in Cache","0:table:cache_type;field=name","Drive-In-Cache","Drive-in Cache","Drive-In cache","Drive-in Cache","","Drive-in Cache",""
